Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772021616731,1752,1459,1183,1190,1166,1190,1099,1100,1800,1555,1677,1800,1300,1294,1222,1304,16.216215133666992,7.894736289978027,8.108107566833496,8.108107566833496,12.820513725280762,10.256410598754883,10.526315689086914,8.333333969116211,10.256410598754883,10.810811042785645,12.820513725280762,5.405405521392822,7.894736289978027,8.108107566833496,10.810811042785645,7.894736289978027,0,259834.56158447266,102901.86486816406,6010.22265625,33048657920,8589930496,6001594368,0
200,1772021616731,1752,1459,1183,1190,1166,1190,1099,1100,1800,1555,1677,1800,1300,1294,1222,1304,16.216215133666992,7.894736289978027,8.108107566833496,8.108107566833496,12.820513725280762,10.256410598754883,10.526315689086914,8.333333969116211,10.256410598754883,10.810811042785645,12.820513725280762,5.405405521392822,7.894736289978027,8.108107566833496,10.810811042785645,7.894736289978027,0,259834.56158447266,102901.86486816406,6010.22265625,33048657920,8589930496,6001594368,0
200,1772021616931,1752,1459,1183,1190,1166,1190,1099,1100,1800,1555,1677,1800,1300,1294,1222,1304,4.761904716491699,0,5,4.761904716491699,5,0,15.789472579956055,10,0,0,0,9.523809432983398,4.761904716491699,9.523809432983398,0,19.047618865966797,0,259835.91174316406,102901.99285888672,6010.240905761719,33048657920,8589930496,5978210304,0
199,1772021617132,1752,1459,1183,1190,1166,1190,1099,1100,1800,1555,1677,1800,1300,1294,1222,1304,0,0,9.523809432983398,10,0,5,23.809524536132813,0,0,0,0,10,0,5,9.523809432983398,9.523809432983398,0,259837.24127197266,102902.11102294922,6010.26708984375,33048657920,8589930496,5986844672,0
199,1772021617332,1752,1459,1183,1190,1166,1190,1099,1100,1800,1555,1677,1800,1300,1294,1222,1304,5,9.523809432983398,0,5.263157844543457,5,10,15.789472579956055,9.523809432983398,10,5.263157844543457,5,20,5,0,5.263157844543457,5,0,259839.12145996094,102902.29302978516,6010.307861328125,33048657920,8589930496,6002626560,0
199,1772021617532,1752,1459,1183,1190,1166,1190,1099,1100,1800,1555,1677,1800,1300,1294,1222,1304,4.761904716491699,10,14.285715103149414,5,9.523809432983398,5.263157844543457,5.263157844543457,5.263157844543457,5,10,20,5.263157844543457,10,5,5,5.263157844543457,0,259840.58666992188,102902.46704101563,6010.3836669921875,33048657920,8589930496,6030434304,0
199,1772021617732,1752,1459,1183,1190,1166,1190,1099,1100,1800,1555,1677,1800,1300,1294,1222,1304,0,5.263157844543457,10.526315689086914,5,5.263157844543457,5,14.285715103149414,10,5,5,0,0,10,5,5,10,0,259841.9448852539,102902.61737060547,6010.4036865234375,33048657920,8589930496,6032416768,0
199,1772021617932,1752,1459,1183,1190,1166,1190,1099,1100,1800,1555,1677,1800,1300,1294,1222,1304,5,0,10,5,0,5,10,5,10,0,10,9.523809432983398,5,5,0,5.263157844543457,0,259843.3240966797,102902.75024414063,6010.4442138671875,33048657920,8589930496,5974003712,0
200,1772021618132,1752,1459,1183,1190,1166,1190,1099,1100,1800,1555,1677,1800,1300,1294,1222,1304,5,5,15.000000953674316,10.526315689086914,0,5.263157844543457,5,0,5,9.523809432983398,4.761904716491699,5.263157844543457,5.263157844543457,14.285715103149414,5,5,0,259844.7153930664,102902.88232421875,6010.501525878906,33048657920,8589930496,5983150080,0
199,1772021618332,1752,1459,1183,1190,1166,1190,1099,1100,1800,1555,1677,1800,1300,1294,1222,1304,5,0,10,14.285715103149414,15.789472579956055,5.263157844543457,5.263157844543457,10,5,0,0,0,0,0,19.047618865966797,0,0,259846.12567138672,102903.00555419922,6010.582946777344,33048657920,8589930496,5996744704,0
199,1772021618532,1752,1459,1183,1190,1166,1190,1099,1100,1800,1555,1677,1800,1300,1294,1222,1304,0,9.523809432983398,10.526315689086914,0,10,10,15.000000953674316,15.000000953674316,5,5,5,0,10,0,0,0,0,259847.52856445313,102903.13000488281,6010.6519775390625,33048657920,8589930496,6005391360,0
