Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772018443626,1500,1700,999,1024,998,997,1099,1099,1258,1700,1600,1584,1199,1199,1200,1200,21.95121955871582,9.756096839904785,19.51219367980957,22.5,10,15.000000953674316,22.5,12.5,12.5,12.195121765136719,9.756096839904785,7.500000476837158,17.073171615600586,15.000000953674316,26.829269409179688,19.51219367980957,0,237439.17510986328,100139.22332763672,5568.1270751953125,33048657920,8589930496,7551401984,0
200,1772018443626,1500,1700,999,1024,998,997,1099,1099,1258,1700,1600,1584,1199,1199,1200,1200,21.95121955871582,9.756096839904785,19.51219367980957,22.5,10,15.000000953674316,22.5,12.5,12.5,12.195121765136719,9.756096839904785,7.500000476837158,17.073171615600586,15.000000953674316,26.829269409179688,19.51219367980957,0,237439.18365478516,100139.2241821289,5568.1270751953125,33048657920,8589930496,7551401984,0
199,1772018443827,1500,1700,999,1024,998,997,1099,1099,1258,1700,1600,1584,1199,1199,1200,1200,0,0,5,15.000000953674316,0,10,25,10.526315689086914,5,0,4.761904716491699,0,5,5,0,0,0,237440.52557373047,100139.33715820313,5568.142822265625,33048657920,8589930496,7564853248,0
199,1772018444027,1500,1700,999,1024,998,997,1099,1099,1258,1700,1600,1584,1199,1199,1200,1200,5.263157844543457,10,15.000000953674316,10,5.263157844543457,0,5,10,5,5.263157844543457,0,0,0,5,0,5,0,237441.86065673828,100139.4619140625,5568.1624755859375,33048657920,8589930496,7515705344,0
199,1772018444227,1500,1700,999,1024,998,997,1099,1099,1258,1700,1600,1584,1199,1199,1200,1200,4.761904716491699,14.285715103149414,5,10.526315689086914,4.761904716491699,0,0,15.000000953674316,10,5,0,0,4.761904716491699,0,5,9.523809432983398,0,237443.6405029297,100139.57781982422,5568.181640625,33048657920,8589930496,7519899648,0
200,1772018444427,1500,1700,999,1024,998,997,1099,1099,1258,1700,1600,1584,1199,1199,1200,1200,0,15.000000953674316,5,15.000000953674316,5,0,0,10,0,5,0,0,0,5,0,5,0,237444.99194335938,100139.7123413086,5568.210876464844,33048657920,8589930496,7532986368,0
199,1772018444628,1500,1700,999,1024,998,997,1099,1099,1258,1700,1600,1584,1199,1199,1200,1200,5.263157844543457,15.789472579956055,0,15.000000953674316,0,5,0,10.526315689086914,10,5,9.523809432983398,0,0,0,0,0,0,237446.38317871094,100139.86120605469,5568.2537841796875,33048657920,8589930496,7541694464,0
199,1772018444828,1500,1700,999,1024,998,997,1099,1099,1258,1700,1600,1584,1199,1199,1200,1200,0,15.000000953674316,5,19.047618865966797,5.263157844543457,0,0,5.263157844543457,5,10,0,5,4.761904716491699,0,5,5,0,237447.759765625,100140.00830078125,5568.2940673828125,33048657920,8589930496,7556308992,0
199,1772018445028,1500,1700,999,1024,998,997,1099,1099,1258,1700,1600,1584,1199,1199,1200,1200,0,15.789472579956055,5.263157844543457,10.526315689086914,4.761904716491699,0,0,20,10,5,0,5,5,0,5,5.263157844543457,0,237449.15075683594,100140.15313720703,5568.338317871094,33048657920,8589930496,7504728064,0
200,1772018445228,1500,1700,999,1024,998,997,1099,1099,1258,1700,1600,1584,1199,1199,1200,1200,9.523809432983398,19.047618865966797,5,15.000000953674316,5.263157844543457,0,0,10,10,0,4.761904716491699,0,0,0,5,9.523809432983398,0,237450.54052734375,100140.3070678711,5568.383544921875,33048657920,8589930496,7518732288,0
199,1772018445428,1500,1700,999,1024,998,997,1099,1099,1258,1700,1600,1584,1199,1199,1200,1200,0,11.111111640930176,0,15.000000953674316,5,0,4.761904716491699,10,10,9.523809432983398,5,4.761904716491699,5,5,5,5,0,237451.91870117188,100140.45404052734,5568.427185058594,33048657920,8589930496,7527297024,0
199,1772018445628,1500,1700,999,1024,998,997,1099,1099,1258,1700,1600,1584,1199,1199,1200,1200,0,15.000000953674316,0,5,5,15.000000953674316,0,5.263157844543457,10,0,5.263157844543457,0,10,0,0,5,0,237453.31036376953,100140.60723876953,5568.470397949219,33048657920,8589930496,7540654080,0
