Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772020459624,1400,1800,400,400,1434,1300,400,1100,1800,1798,1807,1247,1437,1319,1298,1338,14.285715103149414,9.523809432983398,9.756096839904785,7.500000476837158,4.878048419952393,4.878048419952393,9.523809432983398,9.756096839904785,7.500000476837158,14.285715103149414,12.195121765136719,7.500000476837158,10,7.500000476837158,14.634145736694336,11.904762268066406,0,251805.23669433594,101975.12591552734,5873.909973144531,33048657920,8589930496,6055141376,0
200,1772020459624,1400,1800,400,400,1434,1300,400,1100,1800,1798,1807,1247,1437,1319,1298,1338,14.285715103149414,9.523809432983398,9.756096839904785,7.500000476837158,4.878048419952393,4.878048419952393,9.523809432983398,9.756096839904785,7.500000476837158,14.285715103149414,12.195121765136719,7.500000476837158,10,7.500000476837158,14.634145736694336,11.904762268066406,0,251805.23669433594,101975.12591552734,5873.909973144531,33048657920,8589930496,6055141376,0
199,1772020459824,1400,1800,400,400,1434,1300,400,1100,1800,1798,1807,1247,1437,1319,1298,1338,0,5,5,15.000000953674316,9.523809432983398,5,10,0,5,15.000000953674316,5.263157844543457,9.523809432983398,10,10,5,9.523809432983398,0,251806.6353149414,101975.29479980469,5873.936218261719,33048657920,8589930496,6057398272,0
199,1772020460024,1400,1800,400,400,1434,1300,400,1100,1800,1798,1807,1247,1437,1319,1298,1338,0,5,9.523809432983398,5,0,0,0,10,5,5,4.761904716491699,0,0,14.285715103149414,5,10,0,251807.9633178711,101975.41149902344,5873.960998535156,33048657920,8589930496,6016544768,0
200,1772020460225,1400,1800,400,400,1434,1300,400,1100,1800,1798,1807,1247,1437,1319,1298,1338,9.523809432983398,0,0,5,4.761904716491699,4.761904716491699,5,5,5,19.047618865966797,0,5,9.090909004211426,10.526315689086914,5,5.263157844543457,0,251809.32330322266,101975.5571899414,5873.983215332031,33048657920,8589930496,6027878400,0
200,1772020460425,1400,1800,400,400,1434,1300,400,1100,1800,1798,1807,1247,1437,1319,1298,1338,0,5,10,5,15.789472579956055,10,5.263157844543457,5.263157844543457,5,26.3157901763916,0,15.000000953674316,5.263157844543457,9.523809432983398,5,9.523809432983398,0,251810.80145263672,101975.7787475586,5874.024658203125,33048657920,8589930496,6056112128,0
200,1772020460625,1400,1800,400,400,1434,1300,400,1100,1800,1798,1807,1247,1437,1319,1298,1338,5,5,5,5.263157844543457,0,0,0,5,5,9.523809432983398,5,5,10,5,0,4.761904716491699,0,251812.13024902344,101975.89709472656,5874.046691894531,33048657920,8589930496,6069198848,0
199,1772020460825,1400,1800,400,400,1434,1300,400,1100,1800,1798,1807,1247,1437,1319,1298,1338,0,0,15.000000953674316,5,15.000000953674316,14.285715103149414,14.285715103149414,0,0,5.263157844543457,9.523809432983398,10,5,5.263157844543457,9.523809432983398,5.263157844543457,0,251813.55444335938,101976.06903076172,5874.088562011719,33048657920,8589930496,6065303552,0
200,1772020461025,1400,1800,400,400,1434,1300,400,1100,1800,1798,1807,1247,1437,1319,1298,1338,14.285715103149414,10,5,10,10,10.526315689086914,5.263157844543457,10.526315689086914,9.523809432983398,10,5.263157844543457,10.526315689086914,15.789472579956055,5,5,0,0,251815.05572509766,101976.26092529297,5874.180908203125,33048657920,8589930496,6020136960,0
200,1772020461225,1400,1800,400,400,1434,1300,400,1100,1800,1798,1807,1247,1437,1319,1298,1338,5.263157844543457,9.523809432983398,0,5.263157844543457,5,25,5,5,5,5,5.263157844543457,9.523809432983398,5,5.263157844543457,5,5,0,251816.48602294922,101976.42224121094,5874.2471923828125,33048657920,8589930496,6023221248,0
