Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772019084324,1593,400,1298,1262,1295,1276,1100,400,1529,1546,1592,1523,400,1476,1466,400,22.22222328186035,10.810811042785645,13.88888931274414,24.324325561523438,15.789472579956055,5.405405521392822,13.1578950881958,5.555555820465088,10.810811042785645,13.88888931274414,8.333333969116211,10.810811042785645,11.111111640930176,13.51351261138916,10.526315689086914,8.108107566833496,0,242029.6339111328,100733.97973632813,5672.609436035156,33048657920,8589930496,6010392576,0
199,1772019084325,1593,400,1298,1262,1295,1276,1100,400,1529,1546,1592,1523,400,1476,1466,400,22.22222328186035,10.810811042785645,13.88888931274414,24.324325561523438,15.789472579956055,5.405405521392822,13.1578950881958,5.555555820465088,10.810811042785645,13.88888931274414,8.333333969116211,10.810811042785645,11.111111640930176,13.51351261138916,10.526315689086914,8.108107566833496,0,242029.64379882813,100733.98248291016,5672.609436035156,33048657920,8589930496,6010392576,0
199,1772019084525,1593,400,1298,1262,1295,1276,1100,400,1529,1546,1592,1523,400,1476,1466,400,10,0,5,25,0,4.761904716491699,0,0,5,0,9.523809432983398,10,10,10.526315689086914,0,10,0,242031.05639648438,100734.15252685547,5672.6468505859375,33048657920,8589930496,6025285632,0
199,1772019084725,1593,400,1298,1262,1295,1276,1100,400,1529,1546,1592,1523,400,1476,1466,400,10,0,14.285715103149414,20,0,4.761904716491699,5,0,5,10,5,5,5.263157844543457,10,0,0,0,242032.50469970703,100734.30963134766,5672.717529296875,33048657920,8589930496,6047219712,0
199,1772019084925,1593,400,1298,1262,1295,1276,1100,400,1529,1546,1592,1523,400,1476,1466,400,10,9.523809432983398,0,30.000001907348633,0,0,0,0,10,5,10,5.263157844543457,5,5,10,5,0,242033.95379638672,100734.478515625,5672.795715332031,33048657920,8589930496,5993881600,0
199,1772019085125,1593,400,1298,1262,1295,1276,1100,400,1529,1546,1592,1523,400,1476,1466,400,11.111111640930176,10,15.789472579956055,10.526315689086914,15.000000953674316,52.6315803527832,15.000000953674316,5.555555820465088,5.263157844543457,0,30.000001907348633,10,5,15.000000953674316,21.052631378173828,10,0,242035.61602783203,100734.77764892578,5672.896728515625,33048657920,8589930496,6037573632,0
200,1772019085325,1593,400,1298,1262,1295,1276,1100,400,1529,1546,1592,1523,400,1476,1466,400,5,10,9.523809432983398,14.285715103149414,0,9.523809432983398,10,9.523809432983398,5,0,5,5,5,0,15.000000953674316,0,0,242036.9859008789,100734.9165649414,5672.922668457031,33048657920,8589930496,6050910208,0
200,1772019085525,1593,400,1298,1262,1295,1276,1100,400,1529,1546,1592,1523,400,1476,1466,400,0,9.523809432983398,0,10.526315689086914,9.523809432983398,0,15.000000953674316,0,0,9.523809432983398,0,5,0,0,15.000000953674316,5,0,242038.3497314453,100735.04675292969,5672.9449462890625,33048657920,8589930496,6062125056,0
200,1772019085725,1593,400,1298,1262,1295,1276,1100,400,1529,1546,1592,1523,400,1476,1466,400,0,5.263157844543457,0,5.263157844543457,5.263157844543457,10,10,0,0,0,0,0,0,0,10,0,0,242039.68048095703,100735.15710449219,5672.96484375,33048657920,8589930496,6074953728,0
199,1772019085926,1593,400,1298,1262,1295,1276,1100,400,1529,1546,1592,1523,400,1476,1466,400,4.761904716491699,5.263157844543457,5,5,10,0,0,0,9.523809432983398,4.761904716491699,9.523809432983398,0,0,0,5,0,0,242041.00329589844,100735.25848388672,5672.9893798828125,33048657920,8589930496,6026469376,0
