Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772033706500,1800,1400,1180,1255,1390,1230,1100,1099,1410,1400,1536,1388,1082,1090,1277,1088,13.88888931274414,13.88888931274414,8.108107566833496,8.333333969116211,5.714285850524902,5.714285850524902,10.810811042785645,5.714285850524902,11.111111640930176,8.571429252624512,5.555555820465088,13.51351261138916,8.571429252624512,11.111111640930176,11.111111640930176,10.810811042785645,0,49033.506774902344,109599.5210571289,6850.6986083984375,33048657920,8589930496,6034903040,0
200,1772033706500,1800,1400,1180,1255,1390,1230,1100,1099,1410,1400,1536,1388,1082,1090,1277,1088,13.88888931274414,13.88888931274414,8.108107566833496,8.333333969116211,5.714285850524902,5.714285850524902,10.810811042785645,5.714285850524902,11.111111640930176,8.571429252624512,5.555555820465088,13.51351261138916,8.571429252624512,11.111111640930176,11.111111640930176,10.810811042785645,0,49033.51971435547,109599.5263671875,6850.6986083984375,33048657920,8589930496,6034903040,0
199,1772033706700,1800,1400,1180,1255,1390,1230,1100,1099,1410,1400,1536,1388,1082,1090,1277,1088,0,0,5,4.761904716491699,9.523809432983398,9.523809432983398,0,5,4.761904716491699,4.761904716491699,0,0,5,0,10,5,0,49034.84753417969,109599.63861083984,6850.719970703125,33048657920,8589930496,5990748160,0
200,1772033706900,1800,1400,1180,1255,1390,1230,1100,1099,1410,1400,1536,1388,1082,1090,1277,1088,0,5,0,0,10,10.526315689086914,5,0,0,5,9.523809432983398,5,5,9.523809432983398,5,5,0,49036.19158935547,109599.7548828125,6850.750915527344,33048657920,8589930496,5999280128,0
200,1772033707101,1800,1400,1180,1255,1390,1230,1100,1099,1410,1400,1536,1388,1082,1090,1277,1088,9.523809432983398,14.285715103149414,5.263157844543457,5,5,5,25,9.523809432983398,5,0,5,0,4.761904716491699,5,0,0,0,49037.61181640625,109599.92358398438,6850.786193847656,33048657920,8589930496,6008692736,0
199,1772033707301,1800,1400,1180,1255,1390,1230,1100,1099,1410,1400,1536,1388,1082,1090,1277,1088,5.555555820465088,0,4.761904716491699,0,5,10,5,5,10,5,9.523809432983398,5,0,0,4.761904716491699,0,0,49038.95782470703,109600.04583740234,6850.813415527344,33048657920,8589930496,6017839104,0
200,1772033707501,1800,1400,1180,1255,1390,1230,1100,1099,1410,1400,1536,1388,1082,1090,1277,1088,9.523809432983398,9.523809432983398,0,10,0,0,0,0,0,0,0,4.761904716491699,5,23.809524536132813,5,9.090909004211426,0,49040.251708984375,109600.14208984375,6850.8284912109375,33048657920,8589930496,6027714560,0
199,1772033707701,1800,1400,1180,1255,1390,1230,1100,1099,1410,1400,1536,1388,1082,1090,1277,1088,0,0,0,5.263157844543457,5,0,9.523809432983398,0,5,0,0,0,5,15.000000953674316,0,0,0,49041.55895996094,109600.23052978516,6850.853210449219,33048657920,8589930496,5986451456,0
200,1772033707901,1800,1400,1180,1255,1390,1230,1100,1099,1410,1400,1536,1388,1082,1090,1277,1088,21.052631378173828,5.555555820465088,0,5,10,5,5,5,5.263157844543457,10.526315689086914,5.263157844543457,5,5,0,0,5,0,49042.97979736328,109600.4375,6850.86962890625,33048657920,8589930496,6001819648,0
199,1772033708101,1800,1400,1180,1255,1390,1230,1100,1099,1410,1400,1536,1388,1082,1090,1277,1088,5,30.000001907348633,0,5.263157844543457,5,10.526315689086914,5.263157844543457,5,5,9.090909004211426,9.523809432983398,0,0,5,0,0,0,49044.379455566406,109600.5971069336,6850.91259765625,33048657920,8589930496,6015418368,0
