Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772031711780,1801,400,1245,1177,1262,1175,400,1102,1645,1801,1799,1373,1184,1096,1199,1096,19.44444465637207,8.333333969116211,38.88888931274414,16.216215133666992,11.428571701049805,8.571429252624512,14.285715103149414,8.823529243469238,11.111111640930176,8.333333969116211,5.555555820465088,10.810811042785645,2.941176414489746,10.810811042785645,2.857142925262451,11.428571701049805,0,33301.15417480469,106472.9243774414,6558.023193359375,33048657920,8589930496,6083846144,0
200,1772031711780,1801,400,1245,1177,1262,1175,400,1102,1645,1801,1799,1373,1184,1096,1199,1096,19.44444465637207,8.333333969116211,38.88888931274414,16.216215133666992,11.428571701049805,8.571429252624512,14.285715103149414,8.823529243469238,11.111111640930176,8.333333969116211,5.555555820465088,10.810811042785645,2.941176414489746,10.810811042785645,2.857142925262451,11.428571701049805,0,33301.15417480469,106472.9243774414,6558.023193359375,33048657920,8589930496,6083846144,0
199,1772031711981,1801,400,1245,1177,1262,1175,400,1102,1645,1801,1799,1373,1184,1096,1199,1096,0,5,20,36.842105865478516,14.285715103149414,10,15.000000953674316,14.285715103149414,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,4.761904716491699,10,0,33302.71545410156,106473.16040039063,6558.059753417969,33048657920,8589930496,6093455360,0
199,1772031712181,1801,400,1245,1177,1262,1175,400,1102,1645,1801,1799,1373,1184,1096,1199,1096,5,0,25,28.571430206298828,26.3157901763916,14.285715103149414,5,5.263157844543457,0,5,4.761904716491699,0,0,0,0,0,0,33304.1416015625,106473.3466796875,6558.0889892578125,33048657920,8589930496,6037721088,0
199,1772031712381,1801,400,1245,1177,1262,1175,400,1102,1645,1801,1799,1373,1184,1096,1199,1096,0,5,10,14.285715103149414,40,15.000000953674316,5.263157844543457,10,0,10,0,5,5,4.761904716491699,0,0,0,33305.554748535156,106473.53771972656,6558.116638183594,33048657920,8589930496,6050299904,0
200,1772031712581,1801,400,1245,1177,1262,1175,400,1102,1645,1801,1799,1373,1184,1096,1199,1096,5,0,10,15.000000953674316,14.285715103149414,30.000001907348633,0,10,4.761904716491699,0,5,0,0,10,4.761904716491699,4.761904716491699,0,33306.95928955078,106473.71954345703,6558.1551513671875,33048657920,8589930496,6058672128,0
199,1772031712781,1801,400,1245,1177,1262,1175,400,1102,1645,1801,1799,1373,1184,1096,1199,1096,9.523809432983398,0,10,15.000000953674316,0,42.105262756347656,5,10,0,5,0,0,5,0,5.263157844543457,0,0,33308.34796142578,106473.88098144531,6558.193542480469,33048657920,8589930496,6071681024,0
199,1772031712981,1801,400,1245,1177,1262,1175,400,1102,1645,1801,1799,1373,1184,1096,1199,1096,15.000000953674316,0,5.263157844543457,10,10,20,19.047618865966797,0,5,5,0,0,5,5.263157844543457,5,5.263157844543457,0,33309.764404296875,106474.05938720703,6558.2230224609375,33048657920,8589930496,6080892928,0
200,1772031713181,1801,400,1245,1177,1262,1175,400,1102,1645,1801,1799,1373,1184,1096,1199,1096,0,5,14.285715103149414,10.526315689086914,38.095237731933594,9.523809432983398,5.263157844543457,10,5,0,0,5,9.523809432983398,4.761904716491699,4.761904716491699,0,0,33311.13879394531,106474.21472167969,6558.251770019531,33048657920,8589930496,6027636736,0
200,1772031713381,1801,400,1245,1177,1262,1175,400,1102,1645,1801,1799,1373,1184,1096,1199,1096,5.263157844543457,5,5,5,40,20,5,5.263157844543457,10,10,5,14.285715103149414,5,10.526315689086914,0,9.523809432983398,0,33312.69744873047,106474.47973632813,6558.291259765625,33048657920,8589930496,6043140096,0
199,1772031713582,1801,400,1245,1177,1262,1175,400,1102,1645,1801,1799,1373,1184,1096,1199,1096,15.000000953674316,0,5.263157844543457,0,21.052631378173828,15.000000953674316,14.285715103149414,14.285715103149414,26.3157901763916,15.789472579956055,9.523809432983398,0,10,5.263157844543457,5,0,0,33314.374450683594,106474.78784179688,6558.3333740234375,33048657920,8589930496,6094270464,0
199,1772031713782,1801,400,1245,1177,1262,1175,400,1102,1645,1801,1799,1373,1184,1096,1199,1096,40,40,25,33.333335876464844,30.000001907348633,26.3157901763916,25,42.85714340209961,95.23809814453125,15.789472579956055,26.3157901763916,15.000000953674316,35,28.571430206298828,30.000001907348633,33.333335876464844,0,33317.99346923828,106476.95202636719,6558.372802734375,33048657920,8589930496,6142947328,0
199,1772031713982,1801,400,1245,1177,1262,1175,400,1102,1645,1801,1799,1373,1184,1096,1199,1096,68.42105102539063,23.809524536132813,35,35,15.789472579956055,20,21.052631378173828,10.526315689086914,15.789472579956055,20,30.000001907348633,10.526315689086914,33.333335876464844,15.789472579956055,26.3157901763916,36.842105865478516,0,33320.926025390625,106478.39422607422,6558.425720214844,33048657920,8589930496,6161973248,0
199,1772031714182,1801,400,1245,1177,1262,1175,400,1102,1645,1801,1799,1373,1184,1096,1199,1096,47.619049072265625,10.526315689086914,0,0,4.761904716491699,15.000000953674316,20,10.526315689086914,10,15.000000953674316,10,9.523809432983398,4.761904716491699,10,5,0,0,33323.216735839844,106478.85168457031,6558.4910888671875,33048657920,8589930496,6126366720,0
199,1772031714382,1801,400,1245,1177,1262,1175,400,1102,1645,1801,1799,1373,1184,1096,1199,1096,11.111111640930176,5,0,10,15.789472579956055,10,20,5.263157844543457,5.555555820465088,10,5,0,5,10,15.000000953674316,0,0,33324.788818359375,106479.11297607422,6558.531677246094,33048657920,8589930496,6150414336,0
199,1772031714582,1801,400,1245,1177,1262,1175,400,1102,1645,1801,1799,1373,1184,1096,1199,1096,11.111111640930176,5,0,10,15.789472579956055,10,20,5.263157844543457,5.555555820465088,10,5,0,5,10,15.000000953674316,0,0,33326.422302246094,106479.38916015625,6558.5738525390625,33048657920,8589930496,6178902016,0
199,1772031714782,1801,400,1245,1177,1262,1175,400,1102,1645,1801,1799,1373,1184,1096,1199,1096,9.756096839904785,5.128205299377441,7.894736289978027,7.500000476837158,7.692307949066162,2.5,17.948719024658203,5,4.878048419952393,7.500000476837158,5.128205299377441,7.692307949066162,47.5,9.756096839904785,5.128205299377441,2.5641026496887207,0,33327.93212890625,106479.61999511719,6558.614196777344,33048657920,8589930496,6192873472,0
199,1772031714982,1801,400,1245,1177,1262,1175,400,1102,1645,1801,1799,1373,1184,1096,1199,1096,5,0,5,0,5,5,5,0,0,5.263157844543457,5.263157844543457,9.523809432983398,25,25,0,0,0,33329.31579589844,106479.77618408203,6558.646545410156,33048657920,8589930496,6205882368,0
