Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772032051231,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,12.195121765136719,7.317072868347168,9.756096839904785,9.756096839904785,11.904762268066406,12.195121765136719,9.756096839904785,10,5,9.302325248718262,7.317072868347168,7.500000476837158,7.142857551574707,9.756096839904785,7.317072868347168,7.500000476837158,0,36048.806579589844,107054.21368408203,6619.3016357421875,33048657920,8589930496,6009094144,0
200,1772032051231,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,12.195121765136719,7.317072868347168,9.756096839904785,9.756096839904785,11.904762268066406,12.195121765136719,9.756096839904785,10,5,9.302325248718262,7.317072868347168,7.500000476837158,7.142857551574707,9.756096839904785,7.317072868347168,7.500000476837158,0,36048.806579589844,107054.21368408203,6619.3016357421875,33048657920,8589930496,6009094144,0
199,1772032051431,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,0,0,0,4.761904716491699,0,10,5,15.000000953674316,0,0,4.761904716491699,9.523809432983398,5,4.761904716491699,4.761904716491699,4.761904716491699,0,36050.181701660156,107054.35052490234,6619.323974609375,33048657920,8589930496,6027243520,0
200,1772032051631,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,5,5,4.761904716491699,5,4.761904716491699,5.263157844543457,15.000000953674316,15.000000953674316,4.761904716491699,5,0,5,5,0,0,0,0,36051.53839111328,107054.4892578125,6619.342712402344,33048657920,8589930496,5985714176,0
199,1772032051831,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,5.263157844543457,0,9.523809432983398,0,9.523809432983398,5,10,15.789472579956055,5,5,5,15.000000953674316,5,14.285715103149414,5.263157844543457,5,0,36052.933349609375,107054.65673828125,6619.3616943359375,33048657920,8589930496,5994209280,0
200,1772032052031,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,4.761904716491699,0,0,5,0,0,5,19.047618865966797,0,5,5,0,0,0,0,0,0,36054.28552246094,107054.78094482422,6619.3802490234375,33048657920,8589930496,6003609600,0
200,1772032052232,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,0,5,5,5,0,0,5,20,0,0,5,0,9.090909004211426,4.761904716491699,5,0,0,36055.602966308594,107054.89776611328,6619.396789550781,33048657920,8589930496,6016446464,0
199,1772032052432,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,5,5,0,5,5,9.523809432983398,0,15.789472579956055,4.761904716491699,0,5,5,0,0,10,4.761904716491699,0,36056.970458984375,107055.03326416016,6619.415771484375,33048657920,8589930496,6023630848,0
199,1772032052632,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,0,0,5,5,0,0,5,20,0,9.090909004211426,10,5,0,0,0,0,0,36058.309143066406,107055.16479492188,6619.4359130859375,33048657920,8589930496,5978677248,0
200,1772032052832,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,0,9.523809432983398,0,0,9.523809432983398,5,10,23.809524536132813,0,0,5.263157844543457,5,10,5,15.000000953674316,0,0,36059.71063232422,107055.3316040039,6619.4638671875,33048657920,8589930496,5989801984,0
199,1772032053032,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,10,10.526315689086914,10.526315689086914,5.263157844543457,5.263157844543457,10,14.285715103149414,27.77777862548828,10.526315689086914,9.523809432983398,9.523809432983398,4.761904716491699,19.047618865966797,10,15.000000953674316,14.285715103149414,0,36061.37707519531,107055.65826416016,6619.494323730469,33048657920,8589930496,6008807424,0
199,1772032053232,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,26.3157901763916,35,28.571430206298828,23.809524536132813,20,15.000000953674316,21.052631378173828,28.571430206298828,15.000000953674316,40,10.526315689086914,21.052631378173828,15.789472579956055,23.809524536132813,25,15.789472579956055,0,36063.57342529297,107056.51885986328,6619.528259277344,33048657920,8589930496,6065709056,0
199,1772032053432,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,19.047618865966797,19.047618865966797,15.000000953674316,31.57894515991211,19.047618865966797,21.052631378173828,15.000000953674316,10.526315689086914,14.285715103149414,21.052631378173828,10,21.052631378173828,15.000000953674316,25,20,47.619049072265625,0,36065.72344970703,107057.23126220703,6619.579284667969,33048657920,8589930496,6146134016,0
199,1772032053633,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,15.000000953674316,15.789472579956055,19.047618865966797,5,15.000000953674316,20,25,14.285715103149414,30.000001907348633,28.571430206298828,5,20,15.789472579956055,15.789472579956055,5,15.789472579956055,0,36067.892517089844,107058.00964355469,6619.619079589844,33048657920,8589930496,6093324288,0
200,1772032053833,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,0,4.761904716491699,5.263157844543457,0,0,5,0,0,4.761904716491699,0,10,9.523809432983398,9.523809432983398,10,0,5.263157844543457,0,36069.323303222656,107058.17126464844,6619.656311035156,33048657920,8589930496,6107410432,0
199,1772032054033,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,10,0,5,0,0,0,5,5,0,10,5.263157844543457,5,5.263157844543457,10,5,0,0,36070.70782470703,107058.3071899414,6619.698913574219,33048657920,8589930496,6120751104,0
199,1772032054233,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,0,9.523809432983398,5.263157844543457,5,5,5,10,10,5,0,9.523809432983398,0,10.526315689086914,15.000000953674316,5,5.263157844543457,0,36072.13116455078,107058.47814941406,6619.736755371094,33048657920,8589930496,6133583872,0
199,1772032054433,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,9.523809432983398,0,14.285715103149414,15.000000953674316,5.263157844543457,25,38.095237731933594,36.842105865478516,0,4.761904716491699,0,5,15.000000953674316,10,5,5,0,36073.61651611328,107058.68530273438,6619.765625,33048657920,8589930496,6144643072,0
199,1772032054633,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,15.000000953674316,5.263157844543457,5.263157844543457,15.000000953674316,9.523809432983398,10,21.052631378173828,15.000000953674316,10.526315689086914,10,10,5.263157844543457,19.047618865966797,5,10,5,0,36075.172790527344,107058.97149658203,6619.8016357421875,33048657920,8589930496,6105759744,0
199,1772032054833,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,9.523809432983398,0,5.263157844543457,5,5.263157844543457,10,0,0,4.761904716491699,0,0,5,0,10.526315689086914,0,10,0,36076.56866455078,107059.1265258789,6619.831726074219,33048657920,8589930496,6122557440,0
199,1772032055033,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,5.263157844543457,9.523809432983398,0,9.523809432983398,9.523809432983398,10.526315689086914,0,0,0,15.000000953674316,14.285715103149414,9.523809432983398,5,0,4.761904716491699,5,0,36078.01190185547,107059.3189086914,6619.87109375,33048657920,8589930496,6136668160,0
199,1772032055233,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,9.523809432983398,5.263157844543457,14.285715103149414,5.263157844543457,5.263157844543457,5,5,4.761904716491699,0,14.285715103149414,10.526315689086914,5.263157844543457,5,5,5,10,0,36079.50311279297,107059.5552368164,6619.90966796875,33048657920,8589930496,6145024000,0
199,1772032055433,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,20,19.047618865966797,26.3157901763916,10,23.809524536132813,10,15.000000953674316,25,23.809524536132813,15.789472579956055,45,20,42.105262756347656,38.095237731933594,15.789472579956055,10,0,36081.66424560547,107060.32495117188,6619.968566894531,33048657920,8589930496,6148153344,0
200,1772032055634,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,5.263157844543457,0,14.285715103149414,10,31.57894515991211,15.000000953674316,10.526315689086914,10.526315689086914,5.263157844543457,5,4.761904716491699,14.285715103149414,14.285715103149414,30.000001907348633,50,10,0,36083.82165527344,107061.1435546875,6620.013671875,33048657920,8589930496,6108786688,0
200,1772032055834,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,10,10,35,15.000000953674316,30.000001907348633,28.571430206298828,10,30.000001907348633,0,5,25,25,20,5,5,42.85714340209961,0,36085.77233886719,107061.67010498047,6620.052001953125,33048657920,8589930496,6130831360,0
200,1772032056034,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,0,0,0,0,9.523809432983398,0,4.761904716491699,0,4.761904716491699,0,5,0,5,0,10,0,0,36087.121826171875,107061.7992553711,6620.0830078125,33048657920,8589930496,6143668224,0
199,1772032056234,1800,400,1225,1221,1444,1273,1099,1100,1756,1312,1496,1800,1344,1353,1293,1350,4.761904716491699,0,0,0,0,0,0,5,5,5,5,0,0,0,10,5,0,36088.452880859375,107061.9164428711,6620.113098144531,33048657920,8589930496,6156754944,0
