Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772033116242,1748,1799,1399,1399,1480,1476,1100,1099,1700,1800,1706,1800,1299,1332,1434,1294,15.789472579956055,10.810811042785645,7.894736289978027,5.555555820465088,7.894736289978027,10.810811042785645,10.810811042785645,10.810811042785645,10.526315689086914,13.51351261138916,8.108107566833496,7.894736289978027,5.714285850524902,5.405405521392822,8.108107566833496,8.108107566833496,0,44410.05725097656,108695.87548828125,6768.0791015625,33048657920,8589930496,5986410496,0
200,1772033116242,1748,1799,1399,1399,1480,1476,1100,1099,1700,1800,1706,1800,1299,1332,1434,1294,15.789472579956055,10.810811042785645,7.894736289978027,5.555555820465088,7.894736289978027,10.810811042785645,10.810811042785645,10.810811042785645,10.526315689086914,13.51351261138916,8.108107566833496,7.894736289978027,5.714285850524902,5.405405521392822,8.108107566833496,8.108107566833496,0,44410.065490722656,108695.87701416016,6768.0791015625,33048657920,8589930496,5986410496,0
199,1772033116442,1748,1799,1399,1399,1480,1476,1100,1099,1700,1800,1706,1800,1299,1332,1434,1294,5,5,4.761904716491699,4.761904716491699,0,4.761904716491699,4.761904716491699,0,10,9.523809432983398,5,5,14.285715103149414,0,0,0,0,44411.425354003906,108696.00750732422,6768.1029052734375,33048657920,8589930496,6000885760,0
200,1772033116642,1748,1799,1399,1399,1480,1476,1100,1099,1700,1800,1706,1800,1299,1332,1434,1294,0,0,0,0,4.761904716491699,10,15.000000953674316,5,5.263157844543457,15.000000953674316,0,5,0,9.523809432983398,9.090909004211426,0,0,44412.843994140625,108696.18182373047,6768.141906738281,33048657920,8589930496,5954940928,0
199,1772033116842,1748,1799,1399,1399,1480,1476,1100,1099,1700,1800,1706,1800,1299,1332,1434,1294,5.263157844543457,4.761904716491699,0,5,5,0,5.555555820465088,10.526315689086914,5,10.526315689086914,5,10,4.761904716491699,5.555555820465088,0,5,0,44414.272216796875,108696.35833740234,6768.1796875,33048657920,8589930496,5962379264,0
200,1772033117042,1748,1799,1399,1399,1480,1476,1100,1099,1700,1800,1706,1800,1299,1332,1434,1294,0,0,0,4.761904716491699,0,5,23.809524536132813,10.526315689086914,10.526315689086914,10,5,0,5,0,5,4.761904716491699,0,44415.66857910156,108696.51043701172,6768.215576171875,33048657920,8589930496,5971537920,0
200,1772033117243,1748,1799,1399,1399,1480,1476,1100,1099,1700,1800,1706,1800,1299,1332,1434,1294,5,0,4.761904716491699,5,5,4.761904716491699,10.526315689086914,0,9.523809432983398,5,10,10,5,9.523809432983398,0,0,0,44417.04803466797,108696.64819335938,6768.236267089844,33048657920,8589930496,5985153024,0
200,1772033117443,1748,1799,1399,1399,1480,1476,1100,1099,1700,1800,1706,1800,1299,1332,1434,1294,4.761904716491699,5,0,0,0,0,4.761904716491699,9.523809432983398,0,9.523809432983398,0,4.761904716491699,5.263157844543457,0,10,5,0,44418.37902832031,108696.7485961914,6768.2564697265625,33048657920,8589930496,5984198656,0
199,1772033117643,1748,1799,1399,1399,1480,1476,1100,1099,1700,1800,1706,1800,1299,1332,1434,1294,0,0,0,0,5,4.761904716491699,0,0,0,5,4.761904716491699,5,4.761904716491699,4.761904716491699,5,5,0,44419.68231201172,108696.84191894531,6768.27783203125,33048657920,8589930496,5923074048,0
199,1772033117843,1748,1799,1399,1399,1480,1476,1100,1099,1700,1800,1706,1800,1299,1332,1434,1294,0,5,5,0,10,0,0,0,10,10.526315689086914,10.526315689086914,10,0,42.105262756347656,5,10,0,44421.115661621094,108697.04681396484,6768.301086425781,33048657920,8589930496,5939212288,0
